,Item Number,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition,Seller Note,Price
5705,85264986496,Acer,Intel Celeron N,14 in,Silver,4 GB,128 gb,Intel,1.1 GHz,Notebook/Laptop,1920 x 1080,acer,windows 11 home,128 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Multi-Touch Trackpad, Built-in Microphone",Used,No note from seller,$89.99 
5713,85264986504,HP,Intel Core i5 3rd Gen.,14 in,Silver,8 GB,240 gb,Intel,2.50 GHz,Notebook/Laptop,1366 x 768,hp,windows 11 pro,240 gb,SSD,"3D Camera, Bluetooth, Wi-Fi, Touch ID, Optical Drive",Used,No note from seller,$120.00 
5714,85264986505,HP,Intel Core i5 12th Gen.,16 in,Silver,16 GB,256 gb,Intel,4.40 GHz,Notebook/Laptop,1920 x 1200,hp,windows 11 pro,256 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$816.18 
5776,85264986567,Dell,core i5 8th gen,14 in,Black,32 GB,1 tb,Intel,1.90 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,1 tb,SSD,Wi-Fi,Excellent,No note from seller,$299.99 
5785,85264986576,Lenovo,Intel Celeron N,11.6 in,Black,4 MB,32 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,lenovo,Chrome OS,4 gb,eMMC,"Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Rugged, Wi-Fi",Used,No note from seller,$89.99 
5788,85264986579,Dell,Intel Celeron,11.6 in,Black,4 GB,16 gb,Intel,2.16 GHz,Notebook/Laptop,1366 x 768,dell,Linux,16 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Rugged",Used,"“Excellent condition - Every unit is tested to be fully functional. You might see minor blemishes ...  Read moreabout the seller notes“Excellent condition - Every unit is tested to be fully functional. You might see minor blemishes however there are no ""hot spots"" on the screens and the keys are fully responsive. All ports are fully functional and a fresh install of Kali Linux on every unit. Charger Included ** We back every unit with a 90 day no questions asked warranty. If you are unhappy with your purchase for any reason we will gladly buy back your Computer” Read Lessabout the seller notes ",$49.99 
5793,85264986584,HP,AMD Ryzen 3,14 in,Silver,8 GB,128 gb,AMD,2.60 GHz,Notebook/Laptop,1366 x 768,hp,windows 11 home,128 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",New,No note from seller,$193.00 
5797,85264986588,Microsoft,Intel Core i7,13.3 In,Unknown,16 GB,512 gb,Intel,4.20 GHz,Notebook/Laptop,1920 x 1080,microsoft,Not Included,512 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi",Used,"“The item that has been used previously. The item may have some signs of cosmetic wear and tear, but ...  Read moreabout the seller notes“The item that has been used previously. The item may have some signs of cosmetic wear and tear, but is fully operational and functions as intended. There is no warranty on batteries, batteries are tested and working but no guarantee how long they hold charge. The item in the picture may not be the actual one that ships but is one of the items in stock. Accessories are shown in the listing. If you have any questions, please contact us.” Read Lessabout the seller notes ",$188.00 
5799,85264986590,ASUS,Intel Core i7 11th Gen.,14 in,Green,8 GB,512 gb,Intel,2.80 GHz,Notebook/Laptop,1920 x 1080,asus,windows 11 home,512 gb,SSD,"Built-in Webcam, Wi-Fi, Backlit Keyboard",Not Available,No note from seller,$299.00 
5801,85264986592,Lenovo,Intel Celeron N,10.3 in,Gray,4 GB,64 gb,Intel,1.10 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 home,64 gb,eMMC,"Touchscreen, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Convertible 2-in-1 Laptop/Tablet, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$149.99 
