,Item Number,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition,Seller Note,Price
3419,85264984248,Toshiba,Intel Celeron,15.6 in,Unknown,4 GB,128 gb,Intel,1.90 GHz,Laptop,1366 x 768,satellite,windows 10,128 gb,HDD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,No note from seller,$50.62 
3428,85264984257,HP,Intel Core i5 8th Gen.,13.3 in,Unknown,8 GB,256 gb,AMD,1.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10 pro,256 gb,SSD,"Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Touchscreen,  Wi-Fi",Used,"“This is an Excellent Device, Nice Specs and in working Condition in Excellent Cosmetic Condition, ...  Read moreabout the seller notes“This is an Excellent Device, Nice Specs and in working Condition in Excellent Cosmetic Condition, see pics for any imperfections please. The device is super fast, and Reliable and with very low usage. Grab a Bargain.” Read Lessabout the seller notes ",$239.16 
3433,85264984262,Dell,Intel Core i7 8th Gen.,13.3 in,Unknown,16 GB,512 gb,Intel,4.60 GHz,Notebook/Laptop,3840 x 2160,dell,windows 11 pro,Not available,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi,  Fingerprint scanner",Good,“Refurbished laptop in good condition”,$442.83 
3438,85264984267,Dell,Intel Core i7 8th Gen.,15.6 in,Unknown,32 GB,1 tb,Intel,1.90 GHz,Notebook/Laptop,1366 x 768,dell,windows 11 pro,1 tb,SSD,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam",Used,“Fully tested one year warranty”,$339.99 
3439,85264984268,HP,Intel Core i5 8th Gen.,13.3 in,Unknown,8 GB,256 gb,AMD,1.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10 pro,256 gb,SSD,"Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Touchscreen,  Wi-Fi",Used,"“This is an Excellent Device, Nice Specs and in working Condition in Excellent Cosmetic Condition, ...  Read moreabout the seller notes“This is an Excellent Device, Nice Specs and in working Condition in Excellent Cosmetic Condition, see pics for any imperfections please. The device is super fast, and Reliable and with very low usage. Grab a Bargain.” Read Lessabout the seller notes ",$239.16 
3442,85264984271,Dell,Intel Core i7 8th Gen.,13.3 in,Unknown,16 GB,512 gb,Intel,4.60 GHz,Notebook/Laptop,3840 x 2160,dell,windows 11 pro,Not available,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi,  Fingerprint scanner",Good,“Refurbished laptop in good condition”,$442.83 
3444,85264984273,Samsung,Intel Celeron N3050 1.6GHz Dual-Core,11.6 in,Black,2 GB,16 gb,Intel,1.60 GHz,Notebook/Laptop,1366 x 768,samsung,Chrome OS,16 gb,SSD,"Bluetooth,  Built-in Webcam,  Wi-Fi",Used,"“Fully Tested and Fully Working , includes charger. Will ship in bulk packaging. May have sun spots ...  Read moreabout the seller notes“Fully Tested and Fully Working , includes charger. Will ship in bulk packaging. May have sun spots and light screen rash.” Read Lessabout the seller notes ",$49.00 
3452,85264984281,Acer,Intel Celeron N,11.6 in,Gray,4 GB,32 gb,Intel,2.48 GHz,Notebook/Laptop,1366 x 768,not available,Chrome OS,32 gb,eMMC,Touchscreen,Used,"“TOUCHSCREEN WORKS GREAT. ITEM is Fully Tested & Functional Item MAY contain some small corner dents ...  Read moreabout the seller notes“TOUCHSCREEN WORKS GREAT. ITEM is Fully Tested & Functional Item MAY contain some small corner dents on front lid or bottom of the actual computer, The corners may have small bends as well.The screen may have some minor scuff or hairline scratches but is working . May have Sunspots. Item is functional, and fully working and has been fully tested, power-washed and restored to factory settings. The items has been fully cleaned and is in OK physical condition. The charger is tested and INCLUDED and may show sign of use” Read Lessabout the seller notes ",$54.00 
3457,85264984286,SGIN,Intel Celeron N,15.6 in,Silver,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,not available,windows 11 home,128 gb,HDD/SSD,"Bluetooth, Built-in Webcam, Built-in Microphone",New,No note from seller,$159.00 
3480,85264984309,Different,Intel Core i3/i5,"12.5"" or above",Unknown,16 GB,1 tb,Intel,1.70 GHz,Notebook/Laptop,1366 x 768,various,windows 10/11 pro,1 tb,HDD/SSD,"Built-in Webcam,  Widescreen Display,  Wi-Fi",Good,"“Very good condition. Photos are for illustration purpose, May have some sign on previous use, i.e. ...  Read moreabout the seller notes“Very good condition. Photos are for illustration purpose, May have some sign on previous use, i.e. small scratches on lid and outer body.” Read Lessabout the seller notes ",$113.87 to $417.57
3484,85264984313,Dell,Intel Core i5 3rd Gen.,12 in,Blue,8 GB,128 gb,Intel,2.60 GHz,Notebook/Laptop,1366 x 768,dell,windows 11 pro,128 gb,SSD,"10/100 LAN Card, 3D Camera, Wi-Fi, Bluetooth",Used,No note from seller,$110.00 
3490,85264984319,HP,Intel Pentium Gold,15.6 in,Red,4 GB,128 gb,Intel,2.40 GHz,Notebook/Laptop,1366 x 768,hp,windows 10,128 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Built-in Microphone",Not Available,No note from seller,$170.00 
3495,85264984324,Dell,Intel Core i7 3rd Gen.,15.6 in,Gray,8 GB,256 gb,Intel,2.70 GHz,Notebook/Laptop,1366 x 768,dell,windows 10 pro,240 gb,SSD,"Widescreen Display, Bluetooth, Optical Drive, 10/100 LAN Card, Built-in Webcam, Wi-Fi, Built-in Microphone, Backlit Keyboard",Not Available,No note from seller,$79.95 
3496,85264984325,Lenovo,Intel Core i5-6300U,14 in,Gray,8 GB,128 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 pro,128 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi",Used,“Item cleaned and tested. Items are Grade A- to B+ in condition. Any defective or worn parts are ...  Read moreabout the seller notes“Item cleaned and tested. Items are Grade A- to B+ in condition. Any defective or worn parts are replaced. Laptop is refreshed with Windows and bonus software including an Office Suite. Bonus Software can be removed if requested. All software updates are done and all drivers installed. Completed by Microsoft Certified Technicians.” Read Lessabout the seller notes ,$179.50 
3505,85264984334,Dell,Intel Core i5 6th Gen.,14 in,Black,16 GB,512 gb,Intel,2.40 GHz,Notebook/Laptop,1366 x 768,dell,windows 10 pro,512 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$100.00 
3509,85264984338,HP,Intel Core i5 11th Gen.,14 in,Silver,8 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 home,256 gb,SSD,"Touch ID, Multi-Touch Trackpad, Bluetooth, Wi-Fi, Force Touch Trackpad, Backlit Keyboard, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Convertible 2-in-1 Laptop/Tablet",Not Available,No note from seller,$299.97 
3516,85264984345,Dell,Intel i5-2520m,14.1 in,Black,4 GB,0,Intel,2.50 GHz,Notebook/Laptop,1024 x 768,latitude,windows xp,160 gb,HDD,"10/100 LAN Card, Multi-Touch Trackpad, Optical Drive, Rugged, Wi-Fi",Used,"“Refurbished and Ready To Use  - Fresh Install Vintage Windows XP Pro SP3 32 Bit - Intended For ...  Read moreabout the seller notes“Refurbished and Ready To Use  - Fresh Install Vintage Windows XP Pro SP3 32 Bit - Intended For Running Older Software - 14.1"" HD Screen - Intel i5 2.5 ghz. Processor - Intel HD Graphics - 4 gb ram -   160 gb Hard Drive - CD/DVD - Ethernet Port - WIFI - Battery Included, Takes Charge -  No Guarantee On Used Batteries - Charger Included - Multiple Units Available - Units Will Show Moderate Cosmetic Signs Of Previous Use Such As Scuff Scratch Ding Or Dent On Outer Casing / Top Cover” Read Lessabout the seller notes ",$89.99 
3520,85264984349,ASUS,AMD Ryzen 7,14 in,Blue,16 GB,1 tb,NVIDIA,3.20 GHz,Notebook/Laptop,2880 x 1800,asus,windows 11 home,1 tb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$806.00 
3521,85264984350,Acer,Intel Celeron N,11.6 in,Gray,4 GB,32 gb,Intel,2.48 GHz,Notebook/Laptop,1366 x 768,not available,Chrome OS,32 gb,eMMC,Touchscreen,Used,"“TOUCHSCREEN WORKS GREAT. ITEM is Fully Tested & Functional Item MAY contain some small corner dents ...  Read moreabout the seller notes“TOUCHSCREEN WORKS GREAT. ITEM is Fully Tested & Functional Item MAY contain some small corner dents on front lid or bottom of the actual computer, The corners may have small bends as well.The screen may have some minor scuff or hairline scratches but is working . May have Sunspots. Item is functional, and fully working and has been fully tested, power-washed and restored to factory settings. The items has been fully cleaned and is in OK physical condition. The charger is tested and INCLUDED and may show sign of use” Read Lessabout the seller notes ",$54.00 
3530,85264984359,HP,Intel Celeron,14in.,Gray,4 GB,32 gb,Intel,1.10 GHz,Notebook,1366 x 768,not available,Chrome OS,32 gb,eMMC,"Bluetooth,  Built-in Microphone,  Touchscreen,  Wi-Fi,  Built-In Webcam",Used,“These units have hardly been used and are in excellent condition. A power adapter is included.”,$139.99 
3540,85264984369,Razer,Intel Core i7 11th Gen.,15.6 in,Black,64 MB,1 tb,NVIDIA,3.80 GHz,Ultrabook,3840 x 2400,razer,Linux,1 tb,SSD,"10/100 LAN Card, 5G, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Double Screen, Touch Bar, Virtual Reality Ready, Widescreen Display, Wi-Fi",New,No note from seller,"$2,339.00 "
3542,85264984371,Acer,Intel Core i3 11th Gen.,15.6 in,Silver,4 GB,128 gb,Intel,4.10 GHz,Notebook/Laptop,1920 x 1080,acer,windows 11 home,128 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard",Not Available,No note from seller,$249.89 
3544,85264984373,HP,Intel Core i5 5th Gen.,15.6 in,Black,16 GB,256 gb,Intel,2.20 GHz,Notebook/Laptop,1366 x 768,hp,windows 11,256 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,No note from seller,$199.00 
3545,85264984374,Lenovo,Intel Core i7 11th Gen.,15.6 in,Blue,12 GB,512 gb,Intel,4.70 GHz,Notebook/Laptop,1920 x 1080,core,windows 11,512 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi, Fingerprint Reader",Used,"“This laptop has been ""CERTIFIED FACTORY REFURBISHED"" by LENOVO direct (not by 3rd party) to BRAND ...  Read moreabout the seller notes“This laptop has been ""CERTIFIED FACTORY REFURBISHED"" by LENOVO direct (not by 3rd party) to BRAND NEW condition and is backed by a Lenovo Factory Warranty. Looks just ""Like New"" Sealed in a LENOVO box. LENOVO warranty card. All original accessories included! You wont see a difference. SAVE BIG!!!” Read Lessabout the seller notes ",$569.85 
3547,85264984376,Dell,Intel Core i5 7th Gen.,12.5 in,Unknown,16 GB,240 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,250 gb,SSD,"Backlit Keyboard,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi",Used,No note from seller,$166.96 
3548,85264984377,Samsung,Intel Celeron,11.6 in,Black,4 GB,16 gb,Intel,2.50 GHz,Notebook/Laptop,1366 x 768,samsung,Chrome OS,16 gb,SSD,"Wi-Fi,  Built-in Webcam,  Bluetooth,  Touchscreen,  Backlit Keyboard",Used,"“Fully Tested & Functional- . Item will contain some small corner cracks on front lid or bottom of ...  Read moreabout the seller notes“Fully Tested & Functional- . Item will contain some small corner cracks on front lid or bottom of the actual computer, the corners may have bends as well.The screen will have some minor scuff or hairline scratches but is working . Item is functional, and fully working and has been fully tested, power-washed and restored to factory settings. The items has been fully cleaned and is in bad physical condition. The charger is tested and included” Read Lessabout the seller notes ",$38.00 
3551,85264984380,HP,Intel Celeron,11.6 in,Black,4 GB,16 gb,Intel,1.60 GHz,Notebook/Laptop,1366 x 768,hp,Chrome OS,16 gb,SSD,"Bluetooth, Built-in Webcam",Used,"“Fully Tested & Functional .Item is functional, and fully working and has been fully tested, ...  Read moreabout the seller notes“Fully Tested & Functional .Item is functional, and fully working and has been fully tested, power-washed and restored to factory settings. The items has been fully cleaned and is in excellent physical condition. The charger is tested and included” Read Lessabout the seller notes ",$54.00 
3553,85264984382,ASUS,Intel Core i7-4700 @ 2.4 GHz,15 in,Gray,16 GB,500 gb,NVIDIA,2.4GHz,Notebook/Laptop,1920 x 1080,not available,windows 10,500 gb,HDD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Touchscreen,  Wi-Fi,  1 GB NIC",Used,"“Used very good condition. Tested, and in working order. Shows signs of normal wear and tear, ...  Read moreabout the seller notes“Used very good condition. Tested, and in working order. Shows signs of normal wear and tear, scratches, dust, nicks, etc.” Read Lessabout the seller notes ",$295.00 
3561,85264984390,Lenovo,Intel Celeron,11.6 in,Black,32 GB,32 gb,Integrated,1.1 GHz,Chromebook,1366 x 768,samsung,Chrome OS,32 gb,eMMC,"Bluetooth, Built-in Webcam, Wi-Fi, Multi-Touch Trackpad, Built-in Microphone",New,No note from seller,$110.00 
3571,85264984400,Dell,Intel Celeron,11.6 in,Black,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,dell,windows 10,128 gb,SSD,Touchscreen,Not Available,No note from seller,$90.00 
3572,85264984401,HP,Intel Celeron,11.6 in,Gray,4 GB,16 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,chromebook,Chrome OS,16 gb,eMMC,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Not Available,No note from seller,$100.00 
3577,85264984406,HP,AMD Ryzen 3,14 in,Silver,16 GB,Not available,AMD,2.00 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 pro,Not available,SSD,Wi-Fi,Very Good,No note from seller,$299.99 
3581,85264984410,Lenovo,Intel Core i5-6300U,14 in,Gray,8 GB,128 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 pro,128 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi",Used,“Item cleaned and tested. Items are Grade A- to B+ in condition. Any defective or worn parts are ...  Read moreabout the seller notes“Item cleaned and tested. Items are Grade A- to B+ in condition. Any defective or worn parts are replaced. Laptop is refreshed with Windows and bonus software including an Office Suite. Bonus Software can be removed if requested. All software updates are done and all drivers installed. Completed by Microsoft Certified Technicians.” Read Lessabout the seller notes ,$179.50 
3584,85264984413,Dell,Intel Core i5 8th Gen.,13.3 in,Black,8 GB,256 gb,Intel,3.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$120.00 
3601,85264984430,Lenovo,AMD Ryzen 5,15.6 in,Gray,8 GB,256 gb,NVIDIA,3.30 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 home,256 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Virtual Reality Ready, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$599.88 
3606,85264984435,HP,AMD Ryzen 7,15.6 in,Blue,8 GB,512 gb,AMD,4.30 GHz,Notebook/Laptop,1920 x 1080,ryzen,windows 11,512 gb,SSD,"B&O Play Sound, Edge-to-Edge Display, microSD Card Slot, Slim Design, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"“This laptop has been ""CERTIFIED FACTORY REFURBISHED"" by HP direct (not by 3rd party) to BRAND NEW ...  Read moreabout the seller notes“This laptop has been ""CERTIFIED FACTORY REFURBISHED"" by HP direct (not by 3rd party) to BRAND NEW condition and is backed by a HP Factory Warranty. Looks just ""Like New"" Sealed in a HP box. HP warranty card. All original accessories included! You wont see a difference. SAVE BIG!!!” Read Lessabout the seller notes ",$454.37 
3614,85264984443,Lenovo,Intel Core i5 10th Gen.,15.6 in,Unknown,8 GB,512 gb,NVIDIA,2.50 GHz,Notebook/Laptop,1920 x 1080,yoga,windows 10,512 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,"$1,012.28 "
3617,85264984446,Acer,Intel Celeron N,11.6 in,Gray,4 GB,32 gb,Intel,2.48 GHz,Notebook/Laptop,1366 x 768,not available,Chrome OS,32 gb,eMMC,Touchscreen,Used,"“TOUCHSCREEN WORKS GREAT. ITEM is Fully Tested & Functional Item MAY contain some small corner dents ...  Read moreabout the seller notes“TOUCHSCREEN WORKS GREAT. ITEM is Fully Tested & Functional Item MAY contain some small corner dents on front lid or bottom of the actual computer, The corners may have small bends as well.The screen may have some minor scuff or hairline scratches but is working . May have Sunspots. Item is functional, and fully working and has been fully tested, power-washed and restored to factory settings. The items has been fully cleaned and is in OK physical condition. The charger is tested and INCLUDED and may show sign of use” Read Lessabout the seller notes ",$54.00 
3620,85264984449,Dell,Intel Core i5 7th Gen.,14 in,Black,8 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,Not available,SSD,"Built-in Microphone, Built-in Webcam",Good,"“This Refurbished Laptop has been fully tested. The included Drive has been tested, wiped, and ...  Read moreabout the seller notes“This Refurbished Laptop has been fully tested. The included Drive has been tested, wiped, and reloaded with a fresh install of Windows. All ports are undamaged and free of any known defects. The exterior surfaces may contain evidence of previous use. This can include cosmetic blemishes such as scratches/ scuffs and other surface imperfections. The display is free of dead pixels, cracks, and white spots however may contain scratches that are not visible while the unit is powered on and will not limit visibility. All keys/ buttons press properly and function as intended. The battery has been tested and passed diagnostics.
The R2 Grade for this unit is C5/ F6.” Read Lessabout the seller notes ",$144.90 
3636,85264984465,Dell,i7-3630qm@2.4ghz,17.3 in,Black,16 GB,2 tb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,2tb,HDD/SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Webcam, Optical Drive, Wi-Fi",Used,"“Dell inspiron 7720 17.3"" i7-3630qm@2.4ghz 16GB/2TB SSD+2TB HDD Blue Ray 1920x1080 ...  Read moreabout the seller notes“Dell inspiron 7720 17.3"" i7-3630qm@2.4ghz 16GB/2TB SSD+2TB HDD Blue Ray 1920x1080 Win10Pro,Office2019Pro,minor cosmetics and slight scratches Unit was tested for all key functions and is in good condition. Tested for key functions, is Ready for Resale. This unit has Win 10 Pro 64 bits installed and activated” Read Lessabout the seller notes ",$600.00 
3641,85264984470,Dell,Intel Core i7 8th Gen.,15.6 in,Unknown,32 GB,1 tb,Intel,1.90 GHz,Notebook/Laptop,1366 x 768,dell,windows 11 pro,1 tb,SSD,"10/100 LAN Card,  Bluetooth,  Built-in Microphone,  Built-in Webcam",Very Good,“Fully tested one year warranty”,$419.99 
3647,85264984476,Lenovo,Intel Core i5 8th Gen.,14 in,Black,8 GB,256 gb,Intel,1.60 GHz,Notebook/Laptop,1920 x 1080,not available,windows 10,256 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,“great condition ready to ship. fresh Windows 10 image.”,$187.99 
3648,85264984477,HP,Intel Core i5 6th Gen.,15.6 in,Black,8 GB,128 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 pro,500 gb,HDD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,No note from seller,$100.00 
3660,85264984489,Dell,AMD Ryzen 5,14 in,Bronze,8 GB,256 gb,AMD,2.10 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11,256 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",Good,“Minor dent on the cover and scratches on the base. Includes Dell AC Adapter/Charger.”,$299.00 
3662,85264984491,Dell,Intel Core i5 8th Gen.,13.3 in,Unknown,8 GB,256 gb,Intel,1.70 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,256 gb,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi",Used,"“Used, tested and working.  Laptops are in great condition.  Screens have no dead pixels or spots.   ...  Read moreabout the seller notes“Used, tested and working.  Laptops are in great condition.  Screens have no dead pixels or spots.   Includes an AC adapter.” Read Lessabout the seller notes ",$249.00 
3673,85264984502,Dell,Intel Celeron N3050,15.6 in,Black,4 GB,0,Intel,1.6 GHz,Notebook/Laptop,1024 x 768,dell,windows 7 pro,500 gb,HDD,"10/100 LAN Card,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Optical Drive,  Rugged,  Wi-Fi",Used,"“Refurbished and Ready To Use  - Fresh Install Windows 7 Pro 64 Bit - 15.6"" HD Screen - Intel ...  Read moreabout the seller notes“Refurbished and Ready To Use  - Fresh Install Windows 7 Pro 64 Bit - 15.6"" HD Screen - Intel Celeron 1.6 ghz. Processor - Intel HD Graphics - 4 gb ram -   500 gb Hard Drive - CD/DVDRW - Ethernet Port - WIFI - Webcam - HDMI - Battery Included, Takes Charge - Charger Included - Unit Shows Signs Of Previous Use Such as Scratch, Scuff, Ding Or Dent On Outer Casing, Top Cover, See Actual Photos” Read Lessabout the seller notes ",$89.99 
3679,85264984508,Dell,Intel Core i7 8th Gen.,14 in,Black,16 GB,512 gb,Intel,1.90 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,512 gb,SSD,Wi-Fi,Used,No note from seller,$179.99 
3680,85264984509,Dell,Intel Celeron,11.6 in,Black,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,dell,windows 10,128 gb,SSD,Touchscreen,Not Available,No note from seller,$87.30 
3689,85264984518,HP,Intel Celeron N,14 in,Multicolor,4 GB,16 gb,Intel,2.16 GHz,Notebook/Laptop,1366 x 768,hp,Chrome OS,16 gb,eMMC,"10/100 LAN Card,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  Wi-Fi",Used,"“Fully tested and R2 Certified. Shows normal signs of use but no major cracks. Each unit comes with ...  Read moreabout the seller notes“Fully tested and R2 Certified. Shows normal signs of use but no major cracks. Each unit comes with a certificate of testing for quality assurance. These computers were used before and will show small signs of use and handling with nothing major, the screen is not cracked and the computer has been tested by Certified hp chromebook technicians and guaranteed to function normally” Read Lessabout the seller notes ",$79.99 
3694,85264984523,HP,Intel Core i5 11th Gen.,15.6 in,Silver,8 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,not available,windows 11 home,256 gb,SSD,"Bluetooth,  Built-in Webcam,  Built-in Microphone",New,No note from seller,$369.95 
3695,85264984524,HP,Intel Core i7 8th Gen.,15.6 in,Silver/Black,16 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 pro,256 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi,  Dual Band Wireless AC",Good,“Good condition- Unit has minor cosmetic flaws (Read Description) and a non-functional fingerprint ...  Read moreabout the seller notes“Good condition- Unit has minor cosmetic flaws (Read Description) and a non-functional fingerprint scanner- Clean installation of Windows 11 Pro- 1 year warranty (not including cosmetic issues listed in description and the fingerprint scanner)-Auction is for 1 unit and 1 genuine adapter.” Read Lessabout the seller notes ,$199.99 
3703,85264984532,HP,Intel Celeron N,14 in,Multicolor,4 GB,16 gb,Intel,2.16 GHz,Notebook/Laptop,1366 x 768,hp,Chrome OS,16 gb,eMMC,"10/100 LAN Card,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  Wi-Fi",Good,“1-Year Allstate warranty. The original HP charger is included.”,$84.99 
3704,85264984533,HP,Intel Celeron N,11.6 in,Black,4 GB,16 gb,Intel,2.16 GHz,Notebook/Laptop,1366 x 768,hp,Chrome OS,16 gb,eMMC,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,No note from seller,$59.95 
3705,85264984534,Lenovo,Intel Celeron N,11.6 in,Multicolor,4 GB,32 gb,Intel,2.40 GHz,Notebook/Laptop,1366 x 768,lenovo,Chrome OS,32 gb,eMMC,"Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi",Good,“1-Year Allstate warranty. The original HP charger is included.”,$74.99 
3711,85264984540,LG,Intel Core i7 12th Gen.,14 in,Black,16 GB,512 gb,Intel,4.70 GHz,Notebook/Laptop,1920 x 1200,lg,windows 11 home,512 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",Not Available,No note from seller,$425.00 
3712,85264984541,Acer,Intel Celeron,11.6 in,Gray,4 GB,16 gb,Intel,1.40 GHz,Notebook/Laptop,1366 x 768,acer,Chrome OS,16 gb,SSD,"10/100 LAN Card, Bluetooth, Built-in Webcam, Stylus, Widescreen Display, Wi-Fi",Good,"“Good - Refurbished - The item shows moderate wear and is backed by a one year warranty. It is fully ...  Read moreabout the seller notes“Good - Refurbished - The item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging” Read Lessabout the seller notes ",$49.99 
3713,85264984542,Lenovo,Intel Core i3 10th Gen.,14 in,Black,8 GB,128 gb,Intel,2.10 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 home,500 gb,HDD/SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi",Used,"“All ports, connectivity, display, and drive fully tested and fully functional. The screen is in ...  Read moreabout the seller notes“All ports, connectivity, display, and drive fully tested and fully functional. The screen is in good condition. The body of the laptop is also in good condition, but has some minor markings that can be seen in the images. (8/10 cosmetics). Battery holds a charge and works, but runtime varies by use case and is not guaranteed. Includes an OEM charger.” Read Lessabout the seller notes ",$149.99 
3716,85264984545,HP,Intel Core i5-6300U,14 in,Silver,16 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1366 x 768,hp,windows 10 pro,256 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi,  Wi-Fi Ready,  Gigabit Ethernet Port,  New Windows 10 Full Version Preinstalled,  Windows Recovery Solution For Re-installations,  Microsoft Windows Antivirus,  Free Open Office (Writer - Calc -Draw -Spreadsheet)",Very Good,"“Ultralight, and weighs less than 3.3 lbs, A warranty, money-back guarantee, and free tech support ...  Read moreabout the seller notes“Ultralight, and weighs less than 3.3 lbs, A warranty, money-back guarantee, and free tech support are included, This computer has gone through a rigorous refurbishing process as well as Quality Control Testing. We have also installed a fresh & legal version of the Windows operating system with our software package that includes PDF Reader/Editor, and Open Office for (spreadsheet, word, presentation, drawing, formula). We are MICROSOFT REGISTERED REFURBISHER, We offer high-quality refurbished PCs/Laptops, feel confident buying from us. Skip the rest and buy from the best. The outside casing of the Desktop may have minor scratches or imperfections.” Read Lessabout the seller notes ",$179.99 
